Country Name,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Spain,,,,,,,,,,,4.6432228965,8.0597742443,6.8607060605,1.3263394367,-0.5332334927,1.54243517,2.3794906416,1.8195799322,-1.3735445355,-1.7324168546,-3.7300429446,0.3152282975,0.1693390466,2.3776227887,3.3135871635,6.1452554535,5.6802008236,4.8335997554,5.2968905962,4.5245632494,3.0939119502,0.9335767048,-1.4603994668,0.2844284168,4.3183248045,2.0289761405,3.3700910904,4.7669319763,3.725281789,3.0050930754,2.4601954871,1.8045198371,1.9048035855,0.639956615,1.212214386,1.8214077523,1.0858040933,-2.0658663651,-3.0356925374,-1.0688033391
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0047094614,7.8703881394,8.0574718323,8.9370116637,13.835387503,10.7279069138,7.7359142038,-5.0627874873,-14.7425730148,-1.1241442501
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,,,,,,,,,,,0.6181822225,7.3785481217,6.0663908401,0.3814823923,0.2138518587,1.2786128806,-0.5561199075,2.3756090176,7.4676863968,2.2509965725,0.2915726004,2.4209131514,1.7805014024,4.3616413225,2.4630355264,3.5849308898,2.9848839457,5.5524285258,2.8612759189,-1.837051429,-9.9192331011,-5.3192192385,-0.9494878594,6.8341330902,9.6353679396,4.0859925188,7.617587219,5.7316112144,4.3857462497,5.2292023335,2.9989674779,1.555833556,-0.2653358639,4.5327200458,0.5166137721,3.234386236,4.2236454655,-1.6626457508,-8.9562295224,2.5633316014
Fiji,,,,,,,,,,,1.0832893302,6.365186027,9.5993716595,11.026312496,3.3485778984,-0.3376949725,4.5984913228,-0.7281378627,8.0146297921,-4.3206352782,-2.5371564399,-9.3860578767,-6.4290416156,8.7927560408,-5.1039103317,,,,,,,,,,11.5665231344,,,,,,,,,,,,,,,
France,,,,,,,,,,,4.462633959,3.4407485911,5.2233608116,0.192227543,-0.8853215806,2.7238928128,2.7195937145,5.3535148987,2.819331465,-0.8790739725,-0.6522590413,1.0164196436,1.2632084998,0.7213549063,1.6098179594,4.0209245991,1.8934742159,4.5845981894,3.2308086406,2.1541491431,0.2246717221,1.7008952266,-0.7147866033,1.8246368182,1.8111301971,1.4667251,2.7274456056,3.7318570905,3.6197515467,2.046008691,0.9454768499,-0.345124302,0.1044936471,1.951443564,0.5054469807,1.1978435503,1.9918020776,-1.1940270657,-3.9143814189,1.5390457047
Faroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,,,,,,,,,,,2.1439044209,-3.2714732706,16.7142995024,-4.6530111035,42.7884894089,58.2353212439,-21.1602302826,-39.6899055663,-70.488644603,306.0147057531,33.749619503,-10.5560403626,11.034534617,-3.6915173568,-10.9021730483,-2.9845878133,-28.5716978891,36.1866901494,-9.0688834649,-16.928359995,1.4630491716,-11.1035117518,-17.630566398,10.244999643,-3.2787962836,15.3809369846,1.9604304624,14.1955394175,-11.9899998795,-2.6396733757,12.1644510047,9.5082772417,-8.0607613304,-11.6473158625,19.8880384851,-8.8574035609,6.1299555789,6.0177180649,3.8506469933,-1.1134298472
United Kingdom,,,,,,,,,,,2.2823727298,2.8940560464,3.4748974625,-6.4306679172,1.2862467141,2.2309751595,1.0903745956,4.3719738483,-0.4300271988,-2.5304900723,-2.5713494139,1.4017761557,4.9982236156,1.1970795231,4.018586697,5.5757944375,4.5035711745,6.0844388317,1.2625477557,-0.2109983632,-0.9093948083,2.0796139347,2.7471909037,5.8785123692,2.6802716826,2.3419265161,5.3931094804,5.9458563328,1.6379475914,3.2292669988,2.9807520512,3.1724677077,3.0370117578,2.4211089461,2.6515765813,0.0785335473,1.8661329322,-3.1975311108,-3.8867558684,2.6947000033
