Country Name,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Grenada,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2980329823,0.9908838684,1.4848544843,2.4731661473,4.0639079915,5.1281039822,14.7588405455,18.6451821831,19.5706205844,20.487804878,21.3959911693,22.29,23.18,24.05,27
Greenland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0.0647121209,0.053940342,1.7967191908,7.9545046823,14.6544471692,21.6026133057,31.7478112321,35.4641368916,44.1547890284,54.5342598294,56.0990147611,57.7034045009,59.3616872687,61.07,62.82,62.83,63
Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0.0029980054,0.0195348708,0.0954760215,0.4665904445,0.5926529453,0.7123329045,1.7382017816,3.3917462702,4.5488549085,5.1,5.7,6.5,7.3,8.3,9.3,10.5
Guam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0.34845391,0.6595309086,1.3561068883,2.3445716468,4.5012841899,8.4971763229,16.1131270423,25.3802275337,31.1922942556,33.7166817881,36.1617878388,38.5598775576,43.8514430048,46.1504736192,48.4187021509,50.642028382,54.04
Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0.0658541147,0.131828033,0.2640881104,3.9663547349,6.6114915657,13.2069864959,,,,,,13.8,18.2,23.9,29.9
"Hong Kong SAR, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.1209554443,0.8495278834,1.3345680312,2.7841982664,3.2186356429,4.7488386715,10.5187570476,14.5459795803,21.230681975,27.8277606813,38.671403231,43.0823830279,52.2000433497,56.3998803935,56.9,60.8,64.8,66.7,69.4,72
Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0.0367752524,0.0437112456,0.1709964682,0.3012472137,0.5735754761,1.2038559989,1.4152819312,2.5974025974,4.8,5.6,6.5,7.8,9.4,9.6,9.8,11.09
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0.097213389,0.2683189965,0.5140285898,0.8589823679,1.7296093115,3.2732202792,4.4053591194,6.6448825437,11.5585731812,17.76,22.75,30.91,33.14,37.98,41.44,44.24,50.58,56.55
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0.0074842531,,0.0239994768,0.0706584781,0.2312707146,0.3408323262,0.8934329883,1.6473583456,5.4012619076,6.376201635,6.7960004805,7.2,7.6,8.1,8.37
Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0033826302,0.048353421,0.1934143946,0.4835809752,0.6774860544,0.9692395356,1.9424498722,3.8946432784,5.8578407491,6.9996763506,14.5285543028,16.67,21.63,27.74,38.97,47.06,53.3,61,62,65
Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0.0010597444,0.0261094772,0.0566239887,0.1949102636,0.2553066463,0.444415936,0.9255638645,2.0186138595,2.134135733,2.3870197796,2.6002858763,3.6020247626,4.7648131337,5.7862747293,7.9174793849,6.92,10.92
India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0.0001113077,0.0002181757,0.0010695624,0.0262288788,0.0463339767,0.0707678487,0.1390273288,0.2732242767,0.5275324499,0.660146377,1.5378755818,1.6864899706,1.9761364919,2.388075,2.8054998653,3.95,4.38,5.12,7.5
